lo,hi,n,mean,std,sharpe,win_rate
0.72,0.82,291,-0.05059438033519305,0.5769959885414466,-0.08768584416520388,0.7353951890034365
0.54,0.84,1112,-0.06627018704122367,0.7504665079837232,-0.0883053225376728,0.6232014388489209
0.72,0.86,354,-0.04999433668792456,0.5590441241305505,-0.08942824820076216,0.748587570621469
0.56,1.0,1488,-0.054088856851203806,0.6046454228438938,-0.08945549706934335,0.605510752688172
0.66,1.0,1004,-0.042109928873425996,0.4625015875757079,-0.09104818232982374,0.6264940239043825
0.54,0.7,728,-0.07595112537224205,0.8257021008743375,-0.09198368914384167,0.5645604395604396
0.68,0.78,313,-0.058189223453446494,0.6297380667926822,-0.09240226456343972,0.6964856230031949
0.58,0.62,184,-0.07698697744070454,0.8278124947697854,-0.09300050183721208,0.5597826086956522
0.76,0.96,363,-0.04256887247887237,0.45382321632704375,-0.09380056142433112,0.8236914600550964
0.68,0.92,556,-0.05301651913787936,0.5649689701072768,-0.0938397008384594,0.7464028776978417
0.58,1.0,1346,-0.053633732292356885,0.5687641422018178,-0.09429872299039155,0.612184249628529
0.58,0.64,274,-0.07716234313865655,0.8121606961368352,-0.09500871379973308,0.5693430656934306
0.74,0.94,395,-0.04728265777786351,0.4948606369424803,-0.09554742133058235,0.7949367088607595
0.56,0.66,484,-0.07893770744973462,0.8242210280369963,-0.09577249883776491,0.5619834710743802
0.72,0.84,325,-0.05468039168423038,0.5705338628160264,-0.09584074714573525,0.7384615384615385
0.56,0.98,1226,-0.06384385279693525,0.6650994212729828,-0.09599144241433828,0.6884176182707994
0.68,0.9,531,-0.05545317778075714,0.5743847415659882,-0.09654361226513605,0.7382297551789078
0.62,1.0,1162,-0.049935800186250205,0.5158541022274128,-0.09680217714782494,0.6204819277108434
0.64,1.0,1072,-0.04761988959470194,0.4872429304157791,-0.09773336178334378,0.6231343283582089
0.78,0.92,243,-0.04635373538984433,0.46844468380911714,-0.09895242062077206,0.8106995884773662
0.62,0.64,90,-0.07752086856558064,0.7791834964106974,-0.09948987487886989,0.5888888888888889
0.56,0.96,1164,-0.0682070534089659,0.6823056300407764,-0.09996554389400197,0.6718213058419243
0.66,0.98,742,-0.053998265664920546,0.5362180086019638,-0.10070207415395409,0.77088948787062
0.82,0.86,63,-0.047222706507684446,0.46724720942031384,-0.10106578606701767,0.8095238095238095
0.58,0.98,1084,-0.06455659428040933,0.6325592834414808,-0.1020561961073196,0.7075645756457565
0.68,0.88,512,-0.05950278584482203,0.5825531650032045,-0.10214138282897273,0.73046875
0.56,0.94,1131,-0.07143795619487292,0.6919211192050206,-0.1032458096913579,0.6622458001768347
0.56,0.76,801,-0.07982585450462625,0.7633792926737175,-0.10456905927463414,0.602996254681648
0.62,0.98,900,-0.0620152715009712,0.5846344535050672,-0.10607529393652763,0.7377777777777778
0.78,0.9,218,-0.05152481862684996,0.48393570403246017,-0.10647038066733326,0.7981651376146789
0.6,1.0,1247,-0.05788236120007624,0.5422424479694696,-0.10674627450659349,0.6134723336006416
0.58,0.96,1022,-0.06956927087960608,0.6511251712985998,-0.10684469583760306,0.6898238747553816
0.56,0.92,1099,-0.07535710496765471,0.7015346708739041,-0.10741750635614647,0.6524112829845314
0.68,0.86,478,-0.06390351494100203,0.5945530660595528,-0.10748160019513078,0.7196652719665272
0.76,0.94,330,-0.05107823938847161,0.4751314596161835,-0.10750338323152328,0.806060606060606
0.68,0.8,372,-0.06678872354648754,0.6211255207658666,-0.10752854505822756,0.6989247311827957
0.64,0.98,810,-0.06029242738268126,0.5588261888305455,-0.1078911987085915,0.754320987654321
0.66,0.96,680,-0.06056935259171286,0.5596658497325064,-0.10822413520614509,0.75
0.56,0.74,736,-0.08440173727465378,0.7770372661876285,-0.10861993490833885,0.5910326086956522
0.68,0.82,415,-0.06643578224533703,0.6115267729465346,-0.10863920466675213,0.7060240963855422
0.56,0.9,1074,-0.0770818539295844,0.7081069954036832,-0.10885622431344712,0.6461824953445066
0.58,0.66,342,-0.08746384525319495,0.8022866016147654,-0.10901820506182719,0.5701754385964912
0.8,0.86,106,-0.053778065872694576,0.48989221707757036,-0.10977530158267296,0.7924528301886793
0.74,0.92,363,-0.05701867692922131,0.5150740942143893,-0.11069995088024835,0.7768595041322314
0.56,0.78,856,-0.0835905381538789,0.7544938362205522,-0.11079022006674667,0.6074766355140186
0.58,0.94,989,-0.07330951782337956,0.6615705618781336,-0.11081133600512857,0.679474216380182
0.56,0.88,1055,-0.07943668253207627,0.7134419463123043,-0.11134288212611403,0.6407582938388625
0.62,0.96,838,-0.067940562040415,0.6054530646441116,-0.11221441596030372,0.7183770883054893
0.68,0.84,449,-0.06819379120634422,0.6045030847518705,-0.11280966619770952,0.7104677060133631
0.56,0.86,1021,-0.08216077753240997,0.7219192995854979,-0.11380881156603509,0.6327130264446621
0.58,0.76,659,-0.08444202447515439,0.7371755770507892,-0.11454804947958361,0.6160849772382397
0.56,0.82,958,-0.08445837510501718,0.7355255144680367,-0.11482725404311918,0.6210855949895616
0.66,0.94,647,-0.0658276322267847,0.5732623417111564,-0.11482985613583627,0.7372488408037094
0.56,0.8,915,-0.08544882937495622,0.7440674683861899,-0.11484016303022418,0.614207650273224
0.64,0.96,748,-0.06678785136225336,0.5810485673063595,-0.11494366412754492,0.733957219251337
0.58,0.92,957,-0.07787277223654507,0.6720607348782132,-0.11587162914770896,0.6687565308254964
0.74,0.9,338,-0.06114269966339779,0.5273798992787726,-0.11593672748433252,0.7662721893491125
0.56,0.84,992,-0.08463637698633081,0.7289655989009011,-0.11610476147837624,0.626008064516129
